category,title,description,blogger,date,link,sentiment_score,sentiment_interpretation,search_query,search_lang,collected_at,platform,sort_option,sentiment_method
수면-이완,UNSCAM: Oil for Money | MetaFilter,fyi - you might aslo want to check cheney's push for relaxation of restriction on us... development aid. Oil-For-Food: Where Was the Security Council? Office of the Iraq Programme: Oil... ,MetaFilter | Community Weblog,19900101,https://www.metafilter.com/32587/UNSCAM-Oil-for-Money,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 수면·이완(담요/수면 보조/힐링 관련) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",sleep relaxation blanket cozy blanket weighted blanket sleep aid,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
수면-이완,Rex Parker Does the NYT Crossword Puzzle: Don Juan's... ,"with a hint to 20-, 24-/27- and 32-/37-Across) — theme answers are kinds of fields (?) that are also things upon which you sleep, perchance to dream: Theme answers: BLANKET OF SNOW... ",Rex Parker Does the NYT Crossword Puzzle,19900101,https://rexwordpuzzle.blogspot.com/2020/06/don-juans-mother-wed-6-17-20-1960s-band.html,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 수면·이완(담요/수면 보조/힐링 관련) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",sleep relaxation blanket cozy blanket weighted blanket sleep aid,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
수면-이완,message / Sleep aid said to reduce anxiety / Ending... ,"message / Sleep aid said to reduce anxiety / Ending with play or plate / Frequently flooded... But still, stuff like BALAYAGE, HASHTAGS, STREET FOOD, WEIGHTED BLANKET, STILETTOS, POWER... ",Rex Parker Does the NYT Crossword Puzzle,19900101,https://rexwordpuzzle.blogspot.com/2022/08/constructor-agard-and-brooke-husic.html,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 수면·이완(담요/수면 보조/힐링 관련) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",sleep relaxation blanket cozy blanket weighted blanket sleep aid,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
수면-이완,Nagasaki Mon Amour | MetaFilter,"attempting sleep for another couple of hours at least), but all the same, thanks for... the aid stations), associated with extreme weakness. They died in the first and second weeks... ",MetaFilter | Community Weblog,19900101,https://www.metafilter.com/136419/Nagasaki-Mon-Amour,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 수면·이완(담요/수면 보조/힐링 관련) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",sleep relaxation blanket cozy blanket weighted blanket sleep aid,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
수면-이완,Rex Parker Does the NYT Crossword Puzzle: Blows one's... ,"Blows one's top / TUES 1-26-21 / Snoring symbols / California's motto / Bigfoot or yeti Tuesday, January 26, 2021 Hello! It’s Clare back for the last Tuesday in January. Hope you’ve... ",Rex Parker Does the NYT Crossword Puzzle,19900101,https://rexwordpuzzle.blogspot.com/2021/01/blows-ones-top-tues-1-26-21-snoring.html,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 수면·이완(담요/수면 보조/힐링 관련) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",sleep relaxation blanket cozy blanket weighted blanket sleep aid,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
수면-이완,"Caray, Caray!: PRIMETIME on Univisión (#1): Diseñando... ","Monday, May 17, 2021 PRIMETIME on Univisión (#1): Diseñando Tu Amor, ¿Te Acuerdas de Mi? & La Hija del Embajador - Week of May 17, 2021 ANNOUNCEMENTS: 1) Si Nos Dejan premieres on... ","Caray, Caray!",19900101,http://caraycaray.blogspot.com/2021/05/primetime-on-univision-1-disenando-tu_0752455857.html,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 수면·이완(담요/수면 보조/힐링 관련) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",sleep relaxation blanket cozy blanket weighted blanket sleep aid,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
수면-이완,"As Man Lay Dying, Witnesses Turned Away","some sleep!). one night i was drinking and i heard the fights start up again. however, this... my aid, even though I realize that the chances of that are slim. posted by Orb at 3:50 PM... ",MetaFilter | Community Weblog,20030215,https://www.metafilter.com/23596/As-Man-Lay-Dying-Witnesses-Turned-Away,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 수면·이완(담요/수면 보조/힐링 관련) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",sleep relaxation blanket cozy blanket weighted blanket sleep aid,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
수면-이완,"Willa Cather, Song of the Lark","as if on a night like this there ought to be something better to do than to sleep nine hours, or to assist Mrs. Kronborg in functions which she could have performed so admirably... ",밤과 꿈,20050304,https://blog.naver.com/alexdupont/40011002095,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 수면·이완(담요/수면 보조/힐링 관련) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",sleep relaxation blanket cozy blanket weighted blanket sleep aid,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
수면-이완,"Ann Rice, The Vampire Chronicles &lt;Merrick&gt;","When that story ended, Lestat had wakened from a long sleep in New Orleans to listen to... And you're being as cranky as the spirit of Samuel when the witch raised him from his sleep.... ",밤과 꿈,20050316,https://blog.naver.com/alexdupont/40011333045,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 수면·이완(담요/수면 보조/힐링 관련) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",sleep relaxation blanket cozy blanket weighted blanket sleep aid,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
수면-이완,"Joseph Heller, Catch-22","'Who gives a shit?' he asked tiredly, and turned over on his side to go to sleep. The Texan turned out to be good-natured, generous and likable. In three days no one could stand him. He... ",밤과 꿈,20050601,https://blog.naver.com/alexdupont/40013712970,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 수면·이완(담요/수면 보조/힐링 관련) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",sleep relaxation blanket cozy blanket weighted blanket sleep aid,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
